Time and Date, temperature (ºC), temperature (ºF), humidity (%), pressure (hPa)
08:55:22 22/09/2024, 28.35, 83.03, 52.31, 1004.23
08:55:27 22/09/2024, 28.33, 82.99, 52.25, 1004.22
08:55:32 22/09/2024, 28.34, 83.01, 52.37, 1004.40
08:55:37 22/09/2024, 28.34, 83.01, 52.41, 1004.26
08:55:42 22/09/2024, 28.33, 82.99, 52.52, 1004.33
08:55:47 22/09/2024, 28.32, 82.97, 52.46, 1004.31
08:55:52 22/09/2024, 28.32, 82.97, 52.50, 1004.28
08:55:57 22/09/2024, 28.32, 82.97, 52.50, 1004.34
08:56:02 22/09/2024, 28.31, 82.95, 52.39, 1004.27
08:56:07 22/09/2024, 28.31, 82.96, 52.43, 1004.33
08:56:12 22/09/2024, 28.30, 82.94, 52.41, 1004.29
08:56:17 22/09/2024, 28.30, 82.94, 52.39, 1004.34
08:56:22 22/09/2024, 28.30, 82.94, 52.48, 1004.34
08:56:27 22/09/2024, 28.30, 82.94, 52.47, 1004.37
08:56:32 22/09/2024, 28.30, 82.94, 52.53, 1004.28
08:56:37 22/09/2024, 28.29, 82.93, 52.48, 1004.30
08:56:42 22/09/2024, 28.28, 82.91, 52.40, 1004.28
08:56:47 22/09/2024, 28.27, 82.88, 52.37, 1004.23
08:56:52 22/09/2024, 28.26, 82.87, 52.36, 1004.25
08:56:57 22/09/2024, 28.25, 82.85, 52.35, 1004.32
08:57:02 22/09/2024, 28.25, 82.85, 52.49, 1004.28
08:57:07 22/09/2024, 28.24, 82.83, 52.51, 1004.26
08:57:13 22/09/2024, 28.23, 82.81, 52.53, 1004.28
08:57:18 22/09/2024, 28.22, 82.79, 52.43, 1004.26
08:57:23 22/09/2024, 28.21, 82.78, 52.28, 1004.22
08:57:28 22/09/2024, 28.21, 82.78, 52.31, 1004.33
08:57:33 22/09/2024, 28.20, 82.76, 52.38, 1004.26
08:57:38 22/09/2024, 28.20, 82.76, 52.45, 1004.26
08:57:43 22/09/2024, 28.20, 82.76, 52.58, 1004.26
08:57:48 22/09/2024, 28.18, 82.72, 52.58, 1004.22
08:57:53 22/09/2024, 28.17, 82.70, 52.56, 1004.29
08:57:58 22/09/2024, 28.17, 82.70, 52.58, 1004.26
08:58:03 22/09/2024, 28.18, 82.72, 52.58, 1004.28
08:58:08 22/09/2024, 28.18, 82.73, 52.62, 1004.31
08:58:13 22/09/2024, 28.18, 82.73, 52.63, 1004.28
08:58:18 22/09/2024, 28.20, 82.76, 52.64, 1004.34
08:58:23 22/09/2024, 28.23, 82.81, 52.59, 1004.30
08:58:28 22/09/2024, 28.21, 82.78, 52.64, 1004.28
08:58:33 22/09/2024, 28.21, 82.78, 52.63, 1004.25
08:58:38 22/09/2024, 28.22, 82.79, 52.59, 1004.23
08:58:43 22/09/2024, 28.22, 82.80, 52.65, 1004.24
08:58:48 22/09/2024, 28.21, 82.78, 52.59, 1004.17
08:58:53 22/09/2024, 28.23, 82.81, 52.55, 1004.25
08:58:58 22/09/2024, 28.22, 82.80, 52.64, 1004.21
08:59:03 22/09/2024, 28.23, 82.81, 52.63, 1004.19
08:59:08 22/09/2024, 28.21, 82.78, 52.55, 1004.22
08:59:13 22/09/2024, 28.22, 82.79, 52.48, 1004.26
08:59:18 22/09/2024, 28.21, 82.78, 52.46, 1004.22
08:59:23 22/09/2024, 28.21, 82.77, 52.38, 1004.19
08:59:28 22/09/2024, 28.21, 82.77, 52.37, 1004.19
08:59:33 22/09/2024, 28.21, 82.78, 52.48, 1004.20
08:59:38 22/09/2024, 28.19, 82.74, 52.38, 1004.21
08:59:43 22/09/2024, 28.18, 82.73, 52.37, 1004.20
08:59:48 22/09/2024, 28.19, 82.75, 52.40, 1004.22
08:59:53 22/09/2024, 28.18, 82.72, 52.32, 1004.20
08:59:58 22/09/2024, 28.19, 82.74, 52.39, 1004.24
09:00:03 22/09/2024, 28.18, 82.72, 52.37, 1004.17
09:00:08 22/09/2024, 28.17, 82.71, 52.42, 1004.19
09:00:13 22/09/2024, 28.17, 82.71, 52.47, 1004.19
09:00:18 22/09/2024, 28.16, 82.68, 52.26, 1004.27
09:00:23 22/09/2024, 28.14, 82.66, 52.33, 1004.19
09:00:28 22/09/2024, 28.15, 82.67, 52.32, 1004.17
09:00:33 22/09/2024, 28.14, 82.65, 52.40, 1004.19
09:00:38 22/09/2024, 28.15, 82.67, 52.45, 1004.26
09:00:43 22/09/2024, 28.14, 82.66, 52.48, 1004.17
09:00:48 22/09/2024, 28.14, 82.65, 52.50, 1004.19
09:00:53 22/09/2024, 28.14, 82.65, 52.51, 1004.21
09:00:58 22/09/2024, 28.11, 82.59, 52.57, 1004.16
09:01:03 22/09/2024, 28.12, 82.61, 52.49, 1004.15
09:01:08 22/09/2024, 28.13, 82.63, 52.46, 1004.20
09:01:13 22/09/2024, 28.14, 82.65, 52.45, 1004.24
09:01:18 22/09/2024, 28.15, 82.67, 52.54, 1004.17
09:01:23 22/09/2024, 28.15, 82.67, 52.56, 1004.20
09:01:28 22/09/2024, 28.15, 82.67, 52.57, 1004.18
09:01:33 22/09/2024, 28.13, 82.64, 52.55, 1004.18
09:01:38 22/09/2024, 28.14, 82.66, 52.52, 1004.17
09:01:44 22/09/2024, 28.10, 82.58, 52.45, 1004.18
09:01:49 22/09/2024, 28.09, 82.56, 52.37, 1004.21
09:01:54 22/09/2024, 28.09, 82.57, 52.49, 1004.17
09:01:59 22/09/2024, 28.10, 82.58, 52.49, 1004.21
09:02:04 22/09/2024, 28.09, 82.57, 52.48, 1004.22
09:02:09 22/09/2024, 28.07, 82.53, 52.53, 1004.19
09:02:14 22/09/2024, 28.06, 82.51, 52.53, 1004.23
09:02:19 22/09/2024, 28.06, 82.50, 52.56, 1004.17
09:02:24 22/09/2024, 28.04, 82.48, 52.55, 1004.25
09:02:29 22/09/2024, 28.04, 82.48, 52.58, 1004.17
09:02:34 22/09/2024, 28.04, 82.47, 52.60, 1004.13
09:02:39 22/09/2024, 28.04, 82.48, 52.63, 1004.17
09:02:44 22/09/2024, 28.02, 82.44, 52.70, 1004.14
09:02:49 22/09/2024, 28.02, 82.44, 52.75, 1004.16
09:02:54 22/09/2024, 28.01, 82.42, 52.79, 1004.09
09:02:59 22/09/2024, 28.00, 82.39, 52.74, 1004.18
09:03:04 22/09/2024, 28.01, 82.41, 52.75, 1004.22
09:03:09 22/09/2024, 28.00, 82.39, 52.72, 1004.12
09:03:14 22/09/2024, 27.98, 82.36, 52.69, 1004.25
09:03:19 22/09/2024, 27.96, 82.33, 52.70, 1004.18
09:03:24 22/09/2024, 27.96, 82.32, 52.68, 1004.20
09:03:29 22/09/2024, 27.95, 82.31, 52.78, 1004.19
09:03:34 22/09/2024, 27.96, 82.32, 52.93, 1004.25
09:03:39 22/09/2024, 27.95, 82.31, 52.98, 1004.24
09:03:44 22/09/2024, 27.92, 82.26, 53.04, 1004.22
09:03:49 22/09/2024, 27.92, 82.25, 53.09, 1004.21
09:03:54 22/09/2024, 27.92, 82.25, 53.08, 1004.27
09:03:59 22/09/2024, 27.92, 82.26, 53.14, 1004.22
09:04:04 22/09/2024, 27.91, 82.24, 53.13, 1004.15
09:04:09 22/09/2024, 27.91, 82.24, 53.09, 1004.18
09:04:14 22/09/2024, 27.91, 82.23, 53.11, 1004.30
09:04:19 22/09/2024, 27.91, 82.23, 53.09, 1004.20
09:04:24 22/09/2024, 27.89, 82.21, 53.01, 1004.17
09:04:29 22/09/2024, 27.90, 82.21, 53.09, 1004.26
09:04:34 22/09/2024, 27.89, 82.20, 53.10, 1004.25
09:04:39 22/09/2024, 27.88, 82.19, 53.15, 1004.18
09:04:44 22/09/2024, 27.88, 82.18, 53.24, 1004.23
09:04:49 22/09/2024, 27.87, 82.17, 53.21, 1004.19
09:04:54 22/09/2024, 27.86, 82.15, 53.14, 1004.18
09:04:59 22/09/2024, 27.86, 82.15, 53.17, 1004.21
09:05:04 22/09/2024, 27.87, 82.17, 53.14, 1004.19
09:05:09 22/09/2024, 27.88, 82.18, 53.16, 1004.15
09:05:14 22/09/2024, 27.87, 82.17, 53.14, 1004.19
09:05:19 22/09/2024, 27.86, 82.15, 53.11, 1004.10
09:05:24 22/09/2024, 27.86, 82.15, 53.08, 1004.15
09:05:29 22/09/2024, 27.85, 82.13, 53.08, 1004.19
09:05:34 22/09/2024, 27.86, 82.15, 53.11, 1004.23
09:05:39 22/09/2024, 27.82, 82.08, 53.17, 1004.20
09:05:44 22/09/2024, 27.81, 82.05, 53.30, 1004.12
09:05:49 22/09/2024, 27.76, 81.96, 53.21, 1004.12
09:05:54 22/09/2024, 27.75, 81.95, 53.35, 1004.14
09:05:59 22/09/2024, 27.73, 81.92, 53.43, 1004.11
09:06:04 22/09/2024, 27.71, 81.88, 53.33, 1004.18
09:06:09 22/09/2024, 27.72, 81.90, 53.23, 1004.20
09:06:15 22/09/2024, 27.71, 81.88, 53.21, 1004.21
09:06:20 22/09/2024, 27.70, 81.86, 53.45, 1004.14
09:06:25 22/09/2024, 27.71, 81.88, 53.79, 1004.21
09:06:30 22/09/2024, 27.69, 81.85, 53.49, 1004.18
09:06:35 22/09/2024, 27.68, 81.82, 53.64, 1004.18
09:06:40 22/09/2024, 27.69, 81.85, 53.86, 1004.12
09:06:45 22/09/2024, 27.71, 81.88, 53.73, 1004.15
09:06:50 22/09/2024, 27.73, 81.92, 53.76, 1004.16
09:06:55 22/09/2024, 27.74, 81.93, 53.74, 1004.14
09:07:00 22/09/2024, 27.76, 81.97, 53.71, 1004.13
12:36:08 22/09/2024, 27.30, 81.13, 50.53, 1003.27
12:36:21 22/09/2024, 27.29, 81.12, 50.89, 1003.31
12:36:26 22/09/2024, 27.28, 81.11, 50.84, 1003.30
12:38:48 22/09/2024, 27.13, 80.83, 51.03, 1003.35
12:38:53 22/09/2024, 27.13, 80.83, 51.23, 1003.27
12:39:54 22/09/2024, 27.11, 80.80, 51.40, 1003.27
12:39:59 22/09/2024, 27.17, 80.91, 52.21, 1003.29
12:40:04 22/09/2024, 27.20, 80.95, 51.85, 1003.28
12:40:09 22/09/2024, 27.20, 80.96, 51.18, 1003.23
12:40:14 22/09/2024, 27.21, 80.98, 51.08, 1003.25
12:40:19 22/09/2024, 27.24, 81.02, 50.87, 1003.34
12:40:23 22/09/2024, 27.26, 81.06, 51.21, 1003.26
12:40:28 22/09/2024, 27.26, 81.06, 51.21, 1003.26
12:40:31 22/09/2024, 27.28, 81.11, 51.10, 1003.28
12:42:26 22/09/2024, 27.30, 81.14, 50.82, 1003.20
12:42:31 22/09/2024, 27.32, 81.18, 51.05, 1003.34
12:42:36 22/09/2024, 27.33, 81.19, 51.13, 1003.27
12:42:41 22/09/2024, 27.34, 81.21, 50.96, 1003.21
12:42:46 22/09/2024, 27.31, 81.15, 50.82, 1003.26
12:42:51 22/09/2024, 27.32, 81.17, 50.92, 1003.20
12:42:56 22/09/2024, 27.31, 81.16, 50.83, 1003.30
12:43:01 22/09/2024, 27.30, 81.14, 50.81, 1003.31
12:43:06 22/09/2024, 27.30, 81.13, 50.95, 1003.25
12:43:11 22/09/2024, 27.31, 81.16, 50.88, 1003.27
12:43:16 22/09/2024, 27.32, 81.17, 50.81, 1003.31
12:43:22 22/09/2024, 27.33, 81.20, 51.19, 1003.28
12:43:27 22/09/2024, 27.33, 81.20, 51.32, 1003.28
12:43:32 22/09/2024, 27.30, 81.14, 51.21, 1003.28
12:43:37 22/09/2024, 27.29, 81.12, 51.31, 1003.35
12:43:42 22/09/2024, 27.24, 81.02, 51.17, 1003.26
12:43:47 22/09/2024, 27.15, 80.86, 51.23, 1003.22
12:43:52 22/09/2024, 27.13, 80.84, 51.24, 1003.28
12:43:57 22/09/2024, 27.14, 80.84, 51.37, 1003.31
12:44:02 22/09/2024, 27.16, 80.89, 51.24, 1003.33
12:44:07 22/09/2024, 27.07, 80.73, 50.62, 1003.21
12:44:12 22/09/2024, 27.04, 80.67, 51.24, 1003.35
12:44:18 22/09/2024, 27.01, 80.61, 51.58, 1003.32
12:44:23 22/09/2024, 27.03, 80.65, 51.58, 1003.27
12:44:28 22/09/2024, 27.01, 80.62, 51.42, 1003.36
12:44:33 22/09/2024, 26.98, 80.57, 51.40, 1003.31
12:44:38 22/09/2024, 26.95, 80.50, 51.61, 1003.33
12:44:43 22/09/2024, 26.93, 80.48, 51.71, 1003.26
12:44:48 22/09/2024, 26.93, 80.47, 51.81, 1003.33
12:44:53 22/09/2024, 26.96, 80.53, 51.89, 1003.41
12:44:58 22/09/2024, 26.96, 80.52, 52.18, 1003.35
12:45:03 22/09/2024, 26.93, 80.48, 52.24, 1003.28
12:45:08 22/09/2024, 26.91, 80.44, 52.09, 1003.33
12:45:13 22/09/2024, 26.91, 80.44, 51.69, 1003.25
12:45:19 22/09/2024, 26.92, 80.45, 51.83, 1003.34
12:45:24 22/09/2024, 26.97, 80.54, 51.78, 1003.34
12:45:29 22/09/2024, 26.99, 80.57, 51.71, 1003.34
12:45:34 22/09/2024, 26.97, 80.54, 51.43, 1003.37
12:45:39 22/09/2024, 26.98, 80.56, 51.58, 1003.30
12:45:44 22/09/2024, 26.98, 80.57, 51.35, 1003.31
12:45:49 22/09/2024, 26.95, 80.50, 51.09, 1003.33
12:45:54 22/09/2024, 26.89, 80.40, 51.19, 1003.35
12:45:59 22/09/2024, 26.87, 80.36, 51.52, 1003.37
12:46:04 22/09/2024, 26.85, 80.33, 52.34, 1003.34
12:46:09 22/09/2024, 26.84, 80.31, 52.19, 1003.30
12:46:14 22/09/2024, 26.84, 80.31, 52.26, 1003.41
12:46:20 22/09/2024, 26.82, 80.28, 52.22, 1003.40
12:46:25 22/09/2024, 26.85, 80.32, 52.20, 1003.34
12:46:30 22/09/2024, 26.87, 80.37, 51.72, 1003.40
12:46:35 22/09/2024, 26.84, 80.30, 51.55, 1003.35
12:46:40 22/09/2024, 26.85, 80.33, 51.70, 1003.40
12:46:45 22/09/2024, 26.88, 80.38, 51.87, 1003.39
12:46:50 22/09/2024, 26.93, 80.48, 51.94, 1003.36
12:46:55 22/09/2024, 26.92, 80.46, 51.72, 1003.35
12:47:00 22/09/2024, 26.90, 80.42, 51.31, 1003.40
12:47:05 22/09/2024, 26.88, 80.38, 51.39, 1003.38
12:47:11 22/09/2024, 26.86, 80.35, 51.11, 1003.31
12:50:08 22/09/2024, 26.90, 80.41, 51.75, 1003.28
12:50:13 22/09/2024, 26.89, 80.39, 51.65, 1003.32
12:50:50 22/09/2024, 27.00, 80.60, 51.64, 1003.31
12:54:08 22/09/2024, 26.77, 80.19, 52.10, 1003.41
12:54:13 22/09/2024, 26.79, 80.21, 52.26, 1003.40
12:54:19 22/09/2024, 26.83, 80.29, 52.11, 1003.45
12:54:24 22/09/2024, 26.84, 80.30, 51.99, 1003.40
12:54:29 22/09/2024, 26.82, 80.27, 51.52, 1003.34
12:54:34 22/09/2024, 26.83, 80.29, 51.60, 1003.36
12:54:39 22/09/2024, 26.81, 80.26, 51.46, 1003.36
12:54:44 22/09/2024, 30.28, 86.51, 56.41, 1003.46
12:54:49 22/09/2024, 32.06, 89.71, 57.68, 1003.36
12:54:55 22/09/2024, 32.70, 90.87, 59.27, 1003.31
12:55:00 22/09/2024, 32.22, 89.99, 48.59, 1003.52
12:55:05 22/09/2024, 32.87, 91.17, 54.45, 1003.37
12:55:10 22/09/2024, 32.27, 90.09, 44.40, 1003.34
12:55:15 22/09/2024, 31.65, 88.97, 43.13, 1003.29
